,event_date,year,month,day,country_code,latitude,longitude,witness,issue
0,2022-11-04,2022,11,4,ES,41.51019,2.24589,Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
1,2021-08-27,2021,8,27,IT,44.40289,8.98775,Karin Bakran-Lebl;Ana Klobucar;UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
3,2022-08-11,2022,8,11,IT,41.70922,12.78512,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
4,2022-06-27,2022,6,27,HU,47.46323,19.17698,Anonymous expert;Kornélia Kurucz;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
5,2021-10-20,2021,10,20,ES,39.43645,2.75412,Maria Angeles Puig;Mikel Bengoa Paulis;Ignacio Ruiz-Arrondo;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
7,2022-08-26,2022,8,26,IT,43.76617,11.27971,UNIROMA1;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
8,2022-06-22,2022,6,22,IT,40.30343,17.72688,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
9,2022-08-16,2022,8,16,ES,37.39345,-6.08236,Isis Sanpera-Calbet;Mikel Alexander González;Daniel Bravo-Barriga;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
10,2022-08-13,2022,8,13,IT,45.57203,12.10044,UNIROMA1;Eleonora Longo;Francesco Severini;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
12,2022-06-22,2022,6,22,IT,41.83784,12.69665,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
14,2022-06-26,2022,6,26,HU,47.47027,19.04295,Kornélia Kurucz;Anonymous expert;Gábor Kemenesi;Roger Eritja,CONTINENT_DERIVED_FROM_COORDINATES
15,2022-05-24,2022,5,24,IT,45.69678,9.231,Roger Eritja;UNIROMA1,CONTINENT_DERIVED_FROM_COORDINATES
